start,duration,text,valence,arousal
23.85, 8.909,thing in the world everything,1,0
30.449,3.54,has moved and shifted the time you've,1,0
32.759,4.101,been here,1,0
33.989,6.57,so everything you've seen so far is just,1,0
36.86,6.609,to get a sense of your general feeling,1,0
40.559,5.761,of the area I see other than the area,1,0
43.469,5.701,you have scanned right here everything,1,0
46.32,4.86,here could be anything right now okay,1,0
49.17,4.08,yeah this door is locked and you key,0,0
51.18,3.78,doesn't your keys do not work on it yeah,0,0
53.25,3.36,I'll try my keys and I'm also doing a,0,0
54.96,3.989,perception check and put my ear against,0,0
56.61,4.589,the wall and you wanna listen and see if,0,0
58.949,4.321,I can hear voices and see if I can,0,0
61.199,4.831,discern rooms another way my perceptions,0,0
63.27,5.25,five so nineteen leaning in said wall,0,0
66.03,4.74,and you realize it's a door and you,0,0
68.52,5.459,realize you can move it and you hear the,0,0
70.77,6.48,sound of a small group of people kind of,0,0
73.979,4.981,laughing and here glasses clinking it's,0,0
77.25,3.45,a secret can turn into a spider you have,0,0
78.96,4.82,to be very nervous for these rooms like,0,0
80.7,5.07,a little recon picture what's going on,0,0
83.78,5.65,spot them there we could just head,0,0
85.77,4.26,straight to them yeah cool Sam you want,0,0
89.43,3.119,to do that,0,0
90.03,4.14,I'm gonna transform into a spider okay,0,0
92.549,3.18,well spider pull this stuff on me please,0,0
94.17,4.53,I climbed the walls,0,0
95.729,4.951,I'm through the cracks ice spiders,0,0
98.7,3.33,stealth my way into this room you are,0,0
100.68,2.7,now a spider all right who else what,0,0
102.03,4.29,else is that anyone could do anything,0,0
103.38,5.489,else well we're both gonna wait for Niko,0,0
106.32,5.22,to run through it okay go go how big of,0,0
108.869,4.441,a spider fell really the tiny spider I,0,0
111.54,5.34,can turn into there's about that big,0,0
113.31,5.79,little smaller that okay cool cool I'm,0,0
116.88,4.47,gonna run along the top corner this room,0,0
119.1,3.629,stealthily staying the shadows you can,0,0
121.35,4.47,see a slave here standing there with,0,0
122.729,4.291,like holding a little tray and so that's,0,0
125.82,4.859,what you see inside also in the back,0,0
127.02,5.49,there's a food lavish wares,0,0
130.679,4.321,two small chests on either side of the,0,0
132.51,3.75,this dining room and the the slaves are,0,0
135.0,3.81,sitting there and you are now crawling,0,0
136.26,5.699,all the way over there and you're up on,0,0
138.81,5.099,this stuff okay well I'll continue up,0,0
141.959,5.28,the crack of this store and I'm looking,0,0
143.909,5.64,at this room okay pull inside of that,0,0
147.239,4.56,room what you do see is you see there's,0,0
149.549,4.711,a guard here with a giant spear and full,0,0
151.799,4.711,plate male he is all chromed out he,0,0
154.26,3.839,means serious biz he's super formal,0,0
156.51,4.619,looking he looks like he's an expert,0,0
158.099,4.651,spear dude in the parlor you see a lady,0,0
161.129,5.401,with two knives above her head,0,0
162.75,6.51,mm-hmm look rather this is the woman,0,0
166.53,4.079,it's like dangle isn't that girl no no,0,0
169.26,4.699,she's totally chill,0,0
170.609,5.611,there's two guards in here and there's a,0,0
173.959,4.12,heated discussion happening out in the,0,0
176.22,4.349,front there looks like people are,0,0
178.079,5.55,arguing back and forth inside the,0,0
180.569,5.941,kitchen you see two more slaves,0,0
183.629,3.931,you see few slaves in there good thing,0,0
186.51,2.22,you guys didn't burn the whole place,0,0
187.56,4.08,down and I'll see what I murdered a,0,0
188.73,10.08,bunch of slaves wave killers not my wife,0,0
191.64,9.629,though Oh will you come back Wow Nikko,0,0
198.81,3.66,not a spider I didn't see the,0,0
201.269,5.19,mayor-elect all the way around the,0,0
202.47,6.96,mansion and no luck I did however see an,0,0
206.459,4.11,expert spirited bravely I think I'm idea,0,0
209.43,3.779,how to deal with him it's also a chick,0,0
210.569,3.211,with knives I heard she's chill but I,0,0
213.209,3.301,don't buy it,0,0
213.78,4.2,and there's most of the two guys at the,0,0
216.51,3.479,front of house she doesn't actually have,0,0
217.98,3.659,knives go a level deeper since you,0,0
219.989,3.72,literally scouted the every single place,0,0
221.639,4.201,let me go through all the information I,0,0
223.709,5.191,can possibly know I I get what I get I,0,0
225.84,3.989,just wanting like does it all in rich,0,0
228.9,6.66,bawler,0,0
229.829,10.5,spry noble man rich bawler kind of meek,0,0
235.56,6.569,noble woman classy and we have this dude,0,0
240.329,5.401,here it looks like a religious figure,0,0
242.129,5.97,from the town you also have up here some,0,0
245.73,4.02,lowly looking some lowly looking people,0,0
248.099,4.17,up here getting into an argument with,0,0
249.75,4.799,some guards this person holding the tray,0,0
252.269,3.091,that you thought was a slave had white,0,0
254.549,3.66,hair,0,0
255.36,7.08,probably not as a very strong,0,0
258.209,5.881,resemblance it's uncanny how strong that,0,0
262.44,4.8,resemblance to the mayor actually is we,0,0
264.09,5.19,gotta do the spear I would love to put,0,0
267.24,4.83,this fell to use called heat metal where,0,0
269.28,4.67,I can make his armor red-hot mechai,0,0
272.07,6.96,since Yugi needs a case of the hot armor,0,0
273.95,8.5,ha ha ha ha ha ha I think I should write,0,0
279.03,6.63,a note it says hey mister you want some,0,0
282.45,7.35,of that hot stuff leave it on the back,0,0
285.66,6.6,says door knock back here and when he,0,0
289.8,5.55,comes with him for that house look your,0,0
292.26,3.39,gayness I'm a hot iron all right let's,0,0
295.35,1.65,do it,0,0
295.65,4.26,every day I come in this little little,0,0
297.0,4.98,big Oh what oh do it,0,0
299.91,4.26,what's always he gonna think it's left,0,0
301.98,3.57,on the note these like big dude oh come,0,0
304.17,7.71,on I think no you have the most feminine,0,0
305.55,6.75,hand okay I try it yes do it okay it's,0,0
311.88,3.09,big,0,0
312.3,4.26,yes you're done a note that says hey you,0,0
314.97,3.6,want some of that hot snack you'll pay,0,0
316.56,3.15,dopers oh hey mister it doesn't mention,0,0
318.57,3.69,of handwriting Oh,0,0
319.71,3.66,Instagram listen uh hot stuff Nikko,0,0
322.26,2.55,where you wanna be get ready you should,0,0
323.37,3.09,around the corner I'm gonna get ace of,0,0
324.81,2.73,the hot metal so you had some line aside,0,0
326.46,3.27,here as soon as he comes around there,0,0
