start,duration,text,valence,arousal
342.97,5.729,feed our tribe with food,1,0
344.96,7.44,to the direct north of here I sensed I,1,0
348.699,6.431,sensed food I sensed an elk perhaps near,1,0
352.4,5.549,perhaps more I feel like it is up to you,1,0
355.13,5.25,to hunt down one of these animals and,1,0
357.949,6.03,bring it up bring it back to this tribe,1,0
360.38,7.319,to feed us all everyone role perception,0,0
363.979,7.94,checks okay so so what time of day is it,0,0
367.699,7.44,it's at night 9:00 in the morning start,0,0
371.919,4.931,2020 oh my role is 16 well then no one,0,0
375.139,2.431,else even asked a role because Niko here,0,0
