start,duration,text,valence,arousal
635.74,5.779,tree to get a little closer and try to,0,0
638.5,6.6,try to get my eyes on this,0,0
641.519,6.311,what's your stealth uh ten all right uh,0,0
645.1,4.44,it does not see you it makes it small it,0,0
647.83,4.77,just goes ten feet this way and just,0,0
649.54,6.66,keeps grazing okay for this tree right,0,0
652.6,5.85,here I am within range because I have,0,0
656.2,5.639,I'm sharpshooter ability is a feat,0,1
658.45,6.449,that's all my arrow and I'm going to,0,1
661.839,4.651,fire my first shot out of this bow first,0,1
664.899,3.0,shot of the game for sure the game show,0,1
666.49,5.37,the game boom,0,1
667.899,5.341,hold it 18 so that is it 25 all right,0,1
671.86,3.36,I'm gonna do damage well David's will,0,1
673.24,6.51,you quit strike the elephant it was its,0,1
675.22,7.26,head up boom 8 on my gagne see how you,0,1
679.75,4.41,do 11 damage arrow dives right into the,0,1
